id,description,brand,model,mp,optical_zoom,digital_zoom,screen_size,price,type
25982,"samsung wb250f black 14.2mp 18x 3"" cmos ec-wb250fbpbca",samsung,wb250f,14.2,18.0,,3.0,,wi-fi
25983,"samsung wb250f price in india, bangalore, hyderabad, delhi, chennai, mumbai, pune, kolkatta",samsung,wb250f,,18.0,,,,
25984,samsung wb250f  new zealand prices - priceme,samsung,wb250f,,,,,,
25985,samsung wb250f - price comparison & reviews - digital cameras - australia,samsung,wb250f,,,,,,
25986,"samsung wb250f digital camera prices, shopping comparison for samsung wb 250f, buy online in india - shopmania",samsung,wb250f,,,4.0,,188.34,
25987,"samsung wb30f cobalt black digital camera (16.2 mp, 10x opt, micro sd/micro sdhc/micor sdxc card slot) price comparison at buy.net",samsung,wb30f,16.2,,5.0,,,compact camera
25988,"samsung wb30f cobalt white digital camera (16.2 mp, 10x opt, micro sd/micro sdhc/micor sdxc card slot) price comparison at buy.net",samsung,wb30f,16.2,,5.0,,,compact camera
25989,as is lot of 5 digital cameras samsung wb series wb30f dv300f st200 wb800f 689466662931 | ebay,samsung,wb30f,16.3,21.0,,3.0,,point & shoot
25990,samsung wb series wb30f 16 2 mp digital camera red 887276986678 | ebay,samsung,wb30f,16.2,10.0,,3.0,,point & shoot
25991,samsung wb30f 16 2 mp digital camera red 887276986678 | ebay,samsung,wb30f,16.2,10.0,,3.0,,point & shoot
25992,"samsung wb30f 16 2mp smart wi fi digital camera 10x zoom 3"" lcd black w warranty 689466667301 | ebay",samsung,wb30f,16.2,10.0,,3.0,,point & shoot
25993,samsung wb series wb30f 16 2 mp digital camera black nib | ebay,samsung,wb30f,16.2,10.0,,3.0,,point & shoot
25994,samsung wb series wb30f 16 2 mp digital camera black 689466667301 | ebay,samsung,wb30f,16.2,10.0,,3.0,,point & shoot
25995,samsung wb series wb30f 16 2 mp digital camera red 887276986678 | ebay,samsung,wb30f,16.2,10.0,,3.0,,point & shoot
25996,samsung wb series wb30f 16 2 mp digital camera red with new 8gb micro sd card 887276986678 | ebay,samsung,wb30f,16.2,10.0,,3.0,,point & shoot
25997,digital camera samsung wb30f | ebay,samsung,wb30f,,10.0,,,,
25998,samsung wb30f smart wi fi digital camera black 689466667301 | ebay,samsung,wb30f,16.2,10.0,,3.0,,point & shoot
25999,samsung wb30f 16 2 mp 10x zoom digital camera red 887276986678 | ebay,samsung,wb30f,16.2,10.0,,3.0,,point & shoot
26000,samsung wb series wb30f 16 2 mp digital camera red 887276986678 | ebay,samsung,wb30f,16.2,10.0,,3.0,,point & shoot
26001,brand new samsung wb30f 16 2mp 10x wifi smart camera purple 8806085468382 | ebay,samsung,wb30f,16.2,10.0,,3.0,,point & shoot
26002,"samsung wb30f price in india, bangalore, hyderabad, delhi, chennai, mumbai, pune, kolkatta",samsung,wb30f,,10.0,,,,
26003,samsung smart wb30f point & shoot digital camera black price in india with offers & full specifications | pricedekho.com,samsung,wb30f,,,,3.0,,
26004,samsung wb30f  new zealand prices - priceme,samsung,wb30f,,,,,,
26005,"samsung wb30f digital camera prices, shopping comparison for samsung wb 30f, buy online in india - shopmania",samsung,wb30f,,,4.0,,123.71,
26006,samsung digital smart camera 21x wifi nfc 16 2mp silver model wb350 | ebay,samsung,wb350,16.2,21.0,,3.0,,point & shoot
26007,samsung digital smart camera 21x wifi & nfc 16.2mp - silver - model #: wb350.,samsung,wb350.,16.2,21.0,,3.0,,point & shoot
26008,"samsung wb350f 16.3 megapixel compact camera - blue (3"" touchscreen lcd - 21x optical zoom - optical is - 4608 x 3456 image - 1920 x 1080 video - hd movie mode) price comparison at buy.net",samsung,wb350f,16.3,,9.4,,,compact camera
26009,"samsung wb350f 16.3 megapixel compact camera - white (3"" touchscreen lcd - 21x optical zoom - optical is - 4608 x 3456 image - 1920 x 1080 video - hd movie mode) price comparison at buy.net",samsung,wb350f,16.3,,9.4,,,compact camera
26010,"samsung wb350f 16.3 megapixel compact camera - black (3"" touchscreen lcd - 21x optical zoom - optical is - 4608 x 3456 image - 1920 x 1080 video - hd movie mode) price comparison at buy.net",samsung,wb350f,16.3,,9.4,,,compact camera
26011,"samsung wb350f 16.3 megapixel compact camera - brown (3"" touchscreen lcd - 21x optical zoom - optical is - 4608 x 3456 image - 1920 x 1080 video - hd movie mode) price comparison at buy.net",samsung,wb350f,16.3,,9.4,,,compact camera
26012,"samsung wb350f 16.3 megapixel compact camera - red (3"" touchscreen lcd - 21x optical zoom - optical is - 4608 x 3456 image - 1920 x 1080 video - hd movie mode) price comparison at buy.net",samsung,wb350f,16.3,,9.4,,,compact camera
26013,samsung wb350f 16 mp smart digital camera wifi 21x zoom hd video 32gb top kit | ebay,samsung,wb350f,16.0,21.0,,3.0,,point & shoot
26014,samsung wb350f 16 3 megapixel digital camera brown | ebay,samsung,wb350f,16.3,21.0,,3.0,,point & shoot
26015,samsung wb350f smart camera 16 3mp 21x optical zoom 3 inch lcd blue | ebay,samsung,wb350f,16.3,,,3.0,,point & shoot
26016,samsung wb series wb350f 16 0 mp digital camera white 7890 | ebay,samsung,wb350f,16.0,21.0,,3.0,,point & shoot
26017,samsung wb350f 16 3mp smart digital camera wifi 21x optical zoom hd video black | ebay,samsung,wb350f,16.3,,,,,
26018,samsung wb series wb350f 16 0 mp digital camera brown | ebay,samsung,wb350f,16.0,21.0,,3.0,,point & shoot
26019,brand new samsung wb350f 16 3mp 21x opt zoom smart camera brown | ebay,samsung,wb350f,16.3,21.0,,3.0,,point & shoot
26020,smart camera samsung wb350f blue color 16 3mp | ebay,samsung,wb350f,16.3,21.0,,3.0,,digital slr
26021,samsung wb350f smart camera 16 3mp 21x optical zoom 3 inch lcd black | ebay,samsung,wb350f,16.3,21.0,,,,point & shoot
26022,brand new sealed samsung wb350f 16 3mp cmos wifi 21x zoom white | ebay,samsung,wb350f,16.3,21.0,,3.0,,point & shoot
26023,samsung wb350f smart digital camera black with 32gb deluxe accessory kit | ebay,samsung,wb350f,16.0,21.0,,,,point & shoot
26024,camera | ebay,samsung,wb350f,,,,,,
26025,brand new samsung wb350f 16 3 mp 21x optical zoom smart digital camera | ebay,samsung,wb350f,16.3,21.0,,3.0,,point & shoot
26026,samsung wb350f smart digital camera - black,samsung,wb350f,,,,,,
26027,samsung wb350f smart digital camera - brown,samsung,wb350f,,,,,,
26028,samsung wb350f smart digital camera - white,samsung,wb350f,,,,,,
26029,"samsung wb350f white 16mp 21x 3"" smart camera ec-wb350fbpwca",samsung,wb350f,16.0,21.0,5.0,3.0,,wi-fi
26030,"samsung wb350f red 16mp 21x 3"" smart camera ec-wb350fbprca",samsung,wb350f,16.0,21.0,5.0,3.0,,wi-fi
26031,"samsung wb350f brown 16mp 21x 3"" smart camera ec-wb350fbpnca",samsung,wb350f,16.0,21.0,5.0,3.0,,wi-fi
26032,"samsung wb350f price in india, bangalore, hyderabad, delhi, chennai, mumbai, pune, kolkatta",samsung,wb350f,,21.0,,,,
26033,samsung wb350f point & shoot camera white price in india with offers & full specifications | pricedekho.com,samsung,wb350f,,4.0,21.0,3.0,,
26034,samsung wb350f point & shoot camera blue price in india with offers & full specifications | pricedekho.com,samsung,wb350f,,4.0,21.0,3.0,,
26035,"samsung wb wb350f point & shoot camera price in india with offers, reviews & full specifications | pricedekho.com",samsung,wb350f,,,,,,
26036,samsung wb350f  new zealand prices - priceme,samsung,wb350f,,,,,,
26037,"samsung wb350f digital camera prices, shopping comparison for samsung wb 350f, buy online in india - shopmania",samsung,wb350f,,,2.0,,238.94,
26038,samsung wb350f digital camera (brown) | uk digital cameras,samsung,wb350f,,21.0,,,,
26039,samsung wb350f digital camera (white) | uk digital cameras,samsung,wb350f,,21.0,,,,
26040,samsung wb350f digital camera (black) | uk digital cameras,samsung,wb350f,,21.0,,,,
26041,"samsung digital camera, wb350f - walmart.com",samsung,wb350f,,21.0,5.0,,,
26042,samsung white wb350f smart digital camera with 16.3 megapixels and 21x optical zoom: cameras & camcorders : walmart.com,samsung,wb350f,16.3,21.0,2.0,,,
26043,samsung blue wb350f digital camera with 16.3 megapixels and 21x optical zoom: cameras & camcorders : walmart.com,samsung,wb350f,16.3,21.0,5.0,,,
26044,samsung wb350f camera with 16.3 megapixels - walmart.com,samsung,wb350f,16.3,21.0,5.0,,,
26045,samsung blue wb350f digital camera with 16.3 megapixels and 21x optical zoom: cameras & camcorders : walmart.com,samsung,wb350f,16.3,21.0,5.0,,,
26046,samsung wb350f digital smart camera - white (ec-wb350fbpwgb) - wex photographic,samsung,wb350f,16.3,,,,,
26047,samsung wb350f digital smart camera - black (ec-wb350fbpbgb) - wex photographic,samsung,wb350f,16.3,,,,,
26048,samsung wb350f digital smart camera - brown (ec-wb350fbpngb) - wex photographic,samsung,wb350f,16.3,,,,,
26049,"samsung wb35f 16.2 megapixel compact camera - purple (3"" lcd - 12x optical zoom - optical is - 4608 x 3456 image - 1920 x 1080 video - hd movie mode) price comparison at buy.net",samsung,wb35f,16.2,,2.0,,,compact camera
26050,"samsung wb35f 16.2 megapixel compact camera - white (3"" lcd - 12x optical zoom - optical is - 4608 x 3456 image - 1920 x 1080 video - hd movie mode) price comparison at buy.net",samsung,wb35f,16.2,,2.0,,,compact camera
26051,"samsung wb35f 16 2mp wifi digital camera with 12x zoom 2 7"" lcd black | ebay",samsung,wb35f,16.2,,,,,
26052,samsung wb series wb35f 16 2 mp digital camera w 8 gb memory card 887276986678 | ebay,samsung,wb35f,16.2,10.0,,3.0,,point & shoot
26053,samsung wb series wb35f 16 2 mp digital camera w 8 gb memory card 887276986678 | ebay,samsung,wb35f,16.2,10.0,,3.0,,point & shoot
26054,samsung wb35f 16 2mp smart wifi nfc digital camera new open box 044701000037 | ebay,samsung,wb35f,16.2,,,,,point & shoot
26055,samsung wb35f 16 2 megapixel digital camera white | ebay,samsung,wb35f,16.2,12.0,,3.0,,point & shoot
26056,samsung wb35f 16 2mp smart wi fi nfc digital camera white 7pc 4gb acc kit | ebay,samsung,wb35f,16.2,12.0,,3.0,,point & shoot
26057,brand new samsung wb35f 16 2 megapixel digital camera purple | ebay,samsung,wb35f,16.2,12.0,,3.0,,point & shoot
26058,samsung wb series wb35f 16 2 mp digital camera red case | ebay,samsung,wb35f,16.2,12.0,,3.0,,point & shoot
26059,samsung wb series wb35f 16 2 mp digital camera black new | ebay,samsung,wb35f,16.2,12.0,,3.0,,point & shoot
26060,samsung smart cam wb35f white 16 2mp digital camera 12x zoom wifi nfc | ebay,samsung,wb35f,16.2,12.0,,3.0,,point & shoot
26061,samsung wb series wb35f 16 2 mp digital camera black case 4gb memory card | ebay,samsung,wb35f,16.2,12.0,,3.0,,point & shoot
26062,samsung wb35f 16 2 megapixel digital camera white | ebay,samsung,wb35f,16.2,12.0,,3.0,,point & shoot
26063,samsung wb35f smart digital camera plum ec wb35fzbplus | ebay,samsung,wb35f,16.2,12.0,,3.0,,point & shoot
26064,samsung wb series wb35f 16 2 mp digital camera red | ebay,samsung,wb35f,16.2,12.0,,3.0,,point & shoot
26065,samsung smart cam wb35f white 16 2mp digital camera 12x zoom wifi nfc new in box | ebay,samsung,wb35f,16.2,12.0,,3.0,,point & shoot
26066,samsung wb35f digital camera white price in india with offers & full specifications | pricedekho.com,samsung,wb35f,,,,2.7,,
26067,"samsung wb35f digital camera price in india with offers, reviews & full specifications | pricedekho.com",samsung,wb35f,,,,2.7,,
26068,samsung wb35f  new zealand prices - priceme,samsung,wb35f,,,,,,
26069,samsung white wb35f digital camera with 16.2 megapixels and 12x optical zoom: cameras & camcorders : walmart.com,samsung,wb35f,16.2,12.0,,,,
26070,samsung digital camera wb35f - walmart.com,samsung,wb35f,,12.0,,,,
26071,samsung plum wb35f digital camera with 16.2 megapixels and 12x optical zoom: cameras & camcorders : walmart.com,samsung,wb35f,16.2,12.0,,,,
26072,samsung digital camera wb35f - walmart.com,samsung,wb35f,,12.0,,,,
26073,samsung wb35f digital smart camera - white (ec-wb35fzbpwgb) - wex photographic,samsung,wb35f,16.2,,,,,
26074,samsung wb35f digital smart camera - black (ec-wb35fzbpbgb) - wex photographic,samsung,wb35f,16.2,,,,,
26075,brand new samsung wb series wb50f 16 2 mp digital camera black | ebay,samsung,wb50f,16.2,12.0,,3.0,,point & shoot
26076,samsung wb50f black smart camera ec-wb50fzbpbca,samsung,wb50f,,12.0,2.0,3.0,,wi-fi
26077,samsung smart wb50f digital camera white price in india with offers & full specifications | pricedekho.com,samsung,wb50f,,,,,,
26078,"samsung smart wb50f digital camera price in india with offers, reviews & full specifications | pricedekho.com",samsung,wb50f,,12.0,2.0,3.0,,
26079,samsung wb50f digital smart camera - white (ec-wb50fzbpwgb) - wex photographic,samsung,wb50f,16.2,,,,,
26080,samsung wb50f digital smart camera - black (ec-wb50fzbpbgb) - wex photographic,samsung,wb50f,16.2,,,,,
26081,"samsung wb600 point & shoot camera best price in india 2014, specs and review | valid in delhi, mumbai, bangalore, hyderabad, chennai, kolkata, ahmedabad, surat | price-hunt",samsung,wb600,,15.0,,,,
26082,samsung wb600  new zealand prices - priceme,samsung,wb600,,,,,,
26083,"samsung wb600 digital camera prices, shopping comparison for samsung wb 600, buy online in india - shopmania",samsung,wb600,,,5.0,,190.1,
26084,"samsung wb650 price in india with offers, reviews & full specifications | pricedekho.com",samsung,wb650,,,,3.0,,
26085,"samsung wb650 digital camera prices, shopping comparison for samsung wb 650, buy online in india - shopmania",samsung,wb650,,,5.0,,,
26086,samsung wb700 price in india with offers & full specifications | pricedekho.com,samsung,wb700,,18.0,4.0,3.0,,
26087,"samsung wb700 digital camera prices, shopping comparison for samsung wb 700, buy online in india - shopmania",samsung,wb700,,,4.0,,202.84,
26088,samsung wb750 12.5mp digital camera on sale for $173.95,samsung,wb750,12.5,,,,,point-and-shoot
26089,samsung wb800 16 3mp digital camera openbox $1 | ebay,samsung,wb800,16.3,18.0,,,,point & shoot
26090,"samsung wb800f 16.3 megapixel compact camera - white (3"" touchscreen lcd - 21x optical zoom - optical is - 4608 x 3456 image - 1920 x 1080 video - hdmi - pictbridge - hd movie mode) price comparison at buy.net",samsung,wb800f,16.3,,5.0,,,compact camera
26091,samsung wb800f 16 3 mp 21x digital camera cobalt blue w pouch charger 8806085370500 | ebay,samsung,wb800f,16.3,21.0,,3.0,,point & shoot
26092,samsung wb800f 16 3 mp 21x digital camera cobalt blue w pouch charger 8806085370500 | ebay,samsung,wb800f,16.3,21.0,,3.0,,point & shoot
26093,samsung bundle wb800f 16 3 mp 21 x zoom wi fi enabled digital camera white 689466662931 | ebay,samsung,wb800f,16.3,,,,,point & shoot
26094,samsung wb800f  new zealand prices - priceme,samsung,wb800f,,,,,,
26095,samsung wb800f - price comparison & reviews - digital cameras - australia,samsung,wb800f,,,,,,
26096,"samsung wb850f + superb camera | samsung 16mp 21x optical zoom digital smart camera with wi-fi and 3.0"""" amoled - black reviews - buzzillions.com",samsung,wb850f,16.0,16.0,,,,
26097,samsung smart camera wb850f 16 2 mp black | ebay,samsung,wb850f,16.2,21.0,,3.0,,point & shoot
26098,samsung smart camera wb850f 16 2 mp digital camera black | ebay,samsung,wb850f,16.2,21.0,,3.0,,point & shoot
26099,samsung smart camera wb850f 16 2 mp digital camera black new open box | ebay,samsung,wb850f,16.2,21.0,,3.0,,point & shoot
26100,samsung wb850f  new zealand prices - priceme,samsung,wb850f,,,,,,
26101,"sanyo dp42849 42"" 1080i hd lcd television 086483073489 | ebay",sanyo,dp42849,,,,42.0,,
26102,sanyo vpc e1075 10 0 mp digital camera purple 0882224521581 | ebay,sanyo,e1075,10.0,3.0,,2.7,,point & shoot
26103,sanyo vpc e1075 10 0 mp digital camera purple 0882224521581 | ebay,sanyo,e1075,10.0,3.0,,2.7,,point & shoot
26104,original sanyo vpc e1090 digital camera 10 mega for parts repair free shipping 086483072963 | ebay,sanyo,e1090,10.0,3.0,,2.7,,point & shoot
26105,original sanyo vpc e1090 digital camera 10 mega for parts repair free shipping 086483072963 | ebay,sanyo,e1090,10.0,3.0,,2.7,,point & shoot
26106,sanyo vpc e1500tp 14 0 mp digital camera blue 86483078958 | ebay,sanyo,e1500tp,14.0,4.0,,3.0,,point & shoot
26107,"sanyo vpc e1500tp 14 0 mp 4x op 3"" touch digital camera 86483078958 | ebay",sanyo,e1500tp,14.0,4.0,,3.0,,point & shoot
26108,sanyo 14mp digital camera touchscreen lcd ccd blue e1500tp chop 4mcaz1 86483078958 | ebay,sanyo,e1500tp,14.0,4.0,,3.0,,point & shoot
26109,sanyo e1600tp 14 0 mp digital camera blue 086483079801 | ebay,sanyo,e1600tp,14.0,5.0,,3.0,,point & shoot
26110,sanyo vpc e2100 14 0 mp digital camera black 086483080272 | ebay,sanyo,e2100,14.0,21.0,,3.0,,point & shoot
26111,look sanyo vpc e2100 14 0 mp digital camera black 086483080272 | ebay,sanyo,e2100,14.0,21.0,,3.0,,point & shoot
26112,sanyo vpc e760 7 1 mp 3x optical zoom pink digital camera everything included 086483068935 | ebay,sanyo,e760,7.1,3.0,,2.5,,point & shoot
26113,"sanyo 8 1mp digital camera lcd ccd 4x 2 7"" light blue e890 chop 4mcwz1 86483072956 | ebay",sanyo,e890,8.1,3.0,,2.7,,point & shoot
26114,sanyo vpc e890 8 0 mp digital camera light blue 86483072956 | ebay,sanyo,e890,8.0,,,,,
26115,sanyo xacti hd2 camcorder bundle case extras 7 1 720p hi def camera 2gb 720p hd | ebay,sanyo,hd2,7.1,10.0,,,,point & shoot
26116,sanyo vpc 503 5 0 mp digital camera silver | ebay,sanyo,,5.0,3.0,,2.4,,point & shoot
26117,sanyo 9 mega waterproof dual camera | ebay,sanyo,,9.0,,,,,underwater
26118,5 digital cameras sanyo kodak vivitar nikon as is | ebay,sanyo,,,,,,,digital
26119,sanyo digital camera | ebay,sanyo,,,,,,,
26120,sanyo vpc s 1275 digital camera not working | ebay,sanyo,s 1275,12.0,,,2.7,,sanyo vpc s 1275 dugital camera not working
26121,sanyo s1070 digital camea white reconditioned dependable large screen 0086483072352 | ebay,sanyo,s1070,10.0,3.0,,2.4,,point & shoot
26122,sanyo s1085 digital camera pink 086483073106 | ebay,sanyo,s1085,10.0,3.0,,2.7,,point & shoot
26123,sanyo 10mp digital camera lcd video photo pink s1085 086483073106 | ebay,sanyo,s1085,10.0,3.0,,,,point & shoot
26124,sanyo vpc s1085 digital camera | ebay,sanyo,s1085,10.0,,,2.7,,digital slr
26125,original sanyo vpc s1275 digital camera 12 mgp for parts repair free shipping 086483072970 | ebay,sanyo,s1275,12.0,3.0,,2.8,,point & shoot
26126,sanyo vpc s1285 digital camera complete with bonus 1gb sd card 086483074967 | ebay,sanyo,s1285,12.0,3.0,,2.7,,point & shoot
26127,sanyo xacti vpc s1285w 12 0 mp digital camera white 1gb sd card 086483074967 | ebay,sanyo,s1285w,12.0,3.0,,2.7,,point & shoot
26128,see description sanyo s1415 14 0 mp digital camera blue 086483079788 | ebay,sanyo,s1415,14.0,5.0,,3.0,,point & shoot
